game,platform,games_sold,year,critic_score,user_score,combined_score
Battle Garegga Rev.2016,PS4,0.01,2016,,,
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,0.01,2018,,,
TOCA Championship Racing,PS,0.6,1998,8.0,,
BattleTanx,N64,0.33,1998,8.0,,
Uprising X,PS,0.07,1998,,,
Army Men 3D,PS,1.28,1999,7.0,,
Army Men: Air Attack,PS,0.85,1999,,,
Army Men: Sarge's Heroes,N64,0.81,1999,3.5,,
Army Men: Sarge's Heroes,N64,0.81,1999,4.2,,
BattleTanx: Global Assault,N64,0.39,1999,8.2,,
Sammy Sosa High Heat Baseball 2001,PS,0.58,2000,5.5,,
Army Men: Sarge's Heroes,PS,0.56,2000,3.5,,
Army Men: Sarge's Heroes,PS,0.56,2000,4.2,,
Army Men: Sarge's Heroes 2,N64,0.42,2000,4.5,,
Army Men: Sarge's Heroes 2,N64,0.42,2000,4.5,,
Army Men: Sarge's Heroes 2,N64,0.42,2000,6.0,,
"Army Men World War: Land, Sea, Air",PS,0.3,2000,,,
Army Men: Air Attack 2,PS,0.3,2000,8.2,,
Crusaders of Might and Magic,PS,0.25,2000,6.0,,
Army Men: Sarge's Heroes 2,PS,0.24,2000,4.5,,
Army Men: Sarge's Heroes 2,PS,0.24,2000,4.5,,
Army Men: Sarge's Heroes 2,PS,0.24,2000,6.0,,
Army Men: Air Combat,N64,0.24,2000,7.6,,
World Destruction League: Thunder Tanks,PS2,0.17,2000,3.5,,
World Destruction League: Thunder Tanks,PS2,0.17,2000,8.0,,
World Destruction League: Thunder Tanks,PS,0.17,2000,3.5,,
World Destruction League: Thunder Tanks,PS,0.17,2000,8.0,,
Army Men World War: Final Front,PS,0.44,2001,,,
Army Men: Sarge's Heroes 2,PS2,0.17,2001,4.5,,
Army Men: Sarge's Heroes 2,PS2,0.17,2001,4.5,,
Army Men: Sarge's Heroes 2,PS2,0.17,2001,6.0,,
Warriors of Might and Magic,PS2,0.17,2001,5.0,,
Warriors of Might and Magic,PS2,0.17,2001,5.0,,
Jonny Moseley Mad Trix,PS2,0.14,2001,3.0,,
Army Men: Green Rogue,PS2,0.13,2001,,,
Army Men: Green Rogue,PS2,0.13,2001,4.3,,
Portal Runner,PS2,0.13,2001,6.7,,
Warriors of Might and Magic,PS,0.13,2001,5.0,,
Warriors of Might and Magic,PS,0.13,2001,5.0,,
Aqua Aqua,PS2,0.11,2001,7.7,,
Army Men World War: Team Assault,PS,0.1,2001,,,
Army Men: Green Rogue,PS,0.07,2001,,,
Army Men: Green Rogue,PS,0.07,2001,4.3,,
Dragon Rage,PS2,0.06,2001,6.2,,
High Heat Baseball 2002,PS,0.04,2001,,,
WarJetz,PS2,0.04,2001,,,
High Heat Major League Baseball 2003,PS2,0.37,2002,8.8,,
Army Men: RTS,PS2,0.11,2002,6.1,,
Army Men: RTS,PS2,0.11,2002,6.9,,
Godai: Elemental Force,PS2,0.07,2002,,,
Shifters,PS2,0.05,2002,4.0,,
High Heat Major League Baseball 2004,PS2,0.36,2003,8.1,,
High Heat Major League Baseball 2004,PS2,0.36,2003,8.2,,
High Heat Major League Baseball 2004,XB,0.08,2003,8.1,,
High Heat Major League Baseball 2004,XB,0.08,2003,8.2,,
Army Men: Air Combat - The Elite Missions,GC,0.01,2003,3.8,,
Memories Off 6: T-Wave,PS2,0.04,2008,,,
Memories Off 6: T-Wave,PS2,0.04,2008,,,
Prism Ark: Awake,PS2,0.02,2008,,,
Night Wizard the Video Game: Denial of the World,PS2,0.02,2008,,,
Memories Off,PSP,0.01,2008,,,
Kanokon: Esuii,PS2,0.01,2008,,,
Memories Off 2nd,PSP,0.01,2008,,,
Memories Off: Sorekara,PSP,0.01,2008,,,
Memories Off: Omoide ni Kawaru-Kun,PSP,0.01,2008,,,
Monochrome Fighter: Cross Road,PS2,0.01,2008,,,
Steins;Gate,X360,0.06,2009,,,
Steins;Gate,X360,0.06,2009,,,
Steins;Gate,X360,0.06,2009,,,
Steins;Gate,X360,0.06,2009,8.3,8.7,8.5
Steins;Gate,X360,0.06,2009,8.7,8.8,8.75
Chaos;Head Noah,X360,0.04,2009,,,
Chaos;Head Noah,X360,0.04,2009,,,
DoDonPachi Dai-Oujou: Black Label Extra,X360,0.02,2009,,,
11eyes: CrossOver,X360,0.02,2009,,,
11eyes: CrossOver,X360,0.02,2009,,,
Memories Off 6: Next Relation,PS2,0.02,2009,,,
Memories Off 6: Next Relation,PS2,0.02,2009,,,
Memories Off 6: Next Relation,PS2,0.02,2009,,,
Memories Off #5: Togireta Film,PSP,0.01,2009,,,
Lucian Bee's: Resurrection Supernova,PS2,0.01,2009,,,
Memories Off 6: T-Wave,PSP,0.01,2009,,,
Memories Off 6: T-Wave,PSP,0.01,2009,,,
Tayutama: Kiss on my Deity,X360,0.01,2009,,,
Memories Off: AfterRain,PSP,0.01,2009,,,
Taishou Yakyuujou: Otome Tatsuno Seishun Nikki,PSP,0.01,2009,,,
Memories Off 6: Next Relation,X360,0.01,2009,,,
Memories Off 6: Next Relation,X360,0.01,2009,,,
Memories Off 6: Next Relation,X360,0.01,2009,,,
Skip Beat!,PS2,0.01,2009,,,
Lucian Bee's: Justice Yellow / Evil Violet,PS2,0.07,2010,,,
Chaos;Head - Love Chu*Chu!,X360,0.03,2010,,,
Chaos;Head - Love Chu*Chu!,X360,0.03,2010,,,
Chaos;Head Noah,PSP,0.02,2010,,,
Chaos;Head Noah,PSP,0.02,2010,,,
Pastel Chime Continue,PSP,0.02,2010,,,
11eyes: CrossOver,PSP,0.02,2010,,,
11eyes: CrossOver,PSP,0.02,2010,,,
Ketsui: Kizuna Jigoku Tachi Extra,X360,0.02,2010,,,
Memories Off: Yubikiri no Kioku,X360,0.02,2010,,,
W.L.O. Sekai Renai Kikousen,X360,0.02,2010,,,
"Sharin no Kuni, Himawari no Shoujo",X360,0.02,2010,,,
Memories Off 6: Next Relation,PSP,0.01,2010,,,
Memories Off 6: Next Relation,PSP,0.01,2010,,,
Memories Off 6: Next Relation,PSP,0.01,2010,,,
Steins;Gate: Darling of Loving Vows,X360,0.08,2011,,,
Steins;Gate: Darling of Loving Vows,X360,0.08,2011,,,
Steins;Gate: Darling of Loving Vows,X360,0.08,2011,,,
Corpse Party: Book of Shadows,PSP,0.04,2011,5.8,,
Chaos;Head - Love Chu*Chu!,PSP,0.04,2011,,,
Chaos;Head - Love Chu*Chu!,PSP,0.04,2011,,,
Dunamis 15,PS3,0.02,2011,,,
Dunamis 15,PS3,0.02,2011,,,
Memories Off: Yubikiri no Kikou,PSP,0.02,2011,,,
Dunamis 15,X360,0.02,2011,,,
Dunamis 15,X360,0.02,2011,,,
Robotics;Notes,PS3,0.11,2012,,,
Robotics;Notes,PS3,0.11,2012,,,
Robotics;Notes,PS3,0.11,2012,,,
Steins;Gate: Darling of Loving Vows,PSP,0.06,2012,,,
Steins;Gate: Darling of Loving Vows,PSP,0.06,2012,,,
Steins;Gate: Darling of Loving Vows,PSP,0.06,2012,,,
Anohana: The Flower We Saw That Day,PSP,0.02,2012,,,
Robotics;Notes,X360,0.02,2012,,,
Robotics;Notes,X360,0.02,2012,,,
Robotics;Notes,X360,0.02,2012,,,
Steins;Gate: Darling of Loving Vows,PS3,0.02,2012,,,
Steins;Gate: Darling of Loving Vows,PS3,0.02,2012,,,
Steins;Gate: Darling of Loving Vows,PS3,0.02,2012,,,
Akatsuki no Goei Trinity,PSP,0.01,2012,,,
Akatsuki no Goei Trinity,PSP,0.01,2012,,,
Muv-Luv Alternative,PS3,0.01,2012,,,
Akatsuki no Goei Trinity,PS3,0.01,2012,,,
Akatsuki no Goei Trinity,PS3,0.01,2012,,,
Muv-Luv,PS3,0.01,2012,,,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,0.06,2013,,,
Steins;Gate: Senkei Kousoku no Phonogram,PS3,0.06,2013,,,
Muv-Luv Alternative: Total Eclipse,PS3,0.03,2013,,,
Muv-Luv Alternative: Total Eclipse,PS3,0.03,2013,,,
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,0.02,2013,,,
Steins;Gate: Senkei Kousoku no Phonogram,X360,0.02,2013,,,
Steins;Gate: Senkei Kousoku no Phonogram,X360,0.02,2013,,,
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,0.01,2013,,,
Disorder 6,PS3,0.01,2013,,,
Eiyuu * Senki,PS3,0.01,2013,,,
Eiyuu * Senki,PS3,0.01,2013,,,
Phantom Breaker,PS3,0.01,2013,,,
Phantom Breaker,PS3,0.01,2013,,,
Hanasaku Manimani,PSP,0.01,2013,,,
Hanasaku Manimani,PSP,0.01,2013,,,
Muv-Luv Alternative: Total Eclipse,X360,0.01,2013,,,
Muv-Luv Alternative: Total Eclipse,X360,0.01,2013,,,
Infinite Stratos 2: Ignition Hearts,PSV,0.03,2014,,,
Infinite Stratos 2: Ignition Hearts,PSV,0.03,2014,,,
Infinite Stratos 2: Ignition Hearts,PS3,0.03,2014,,,
Infinite Stratos 2: Ignition Hearts,PS3,0.03,2014,,,
Robotics;Notes,PSV,0.02,2014,,,
Robotics;Notes,PSV,0.02,2014,,,
Robotics;Notes,PSV,0.02,2014,,,
Chaos;Head Dual,PSV,0.01,2014,,,
Hanasaku Manimani,PSV,0.01,2014,,,
Hanasaku Manimani,PSV,0.01,2014,,,
Muv-luv Photonmelodies,PS3,0.01,2014,,,
Muv-luv Photonflowers,PS3,0.01,2014,,,
Eiyuu * Senki,PSV,0.01,2014,,,
Eiyuu * Senki,PSV,0.01,2014,,,
Oretachi ni Tsubasa wa Nai,PSV,0.01,2014,,,
Bullet Soul Infinite Burst,X360,0.01,2014,,,
Steins;Gate,PSV,0.1,2015,,,
Steins;Gate,PSV,0.1,2015,,,
Steins;Gate,PSV,0.1,2015,,,
Steins;Gate,PSV,0.1,2015,8.3,8.7,8.5
Steins;Gate,PSV,0.1,2015,8.7,8.8,8.75
Steins;Gate,PS3,0.06,2015,,,
Steins;Gate,PS3,0.06,2015,,,
Steins;Gate,PS3,0.06,2015,,,
Steins;Gate,PS3,0.06,2015,8.3,8.7,8.5
Steins;Gate,PS3,0.06,2015,8.7,8.8,8.75
Corpse Party: Blood Covered - Repeated Fear,3DS,0.05,2015,,,
Steins;Gate 0,PS3,0.03,2015,,,
Steins;Gate 0,PS3,0.03,2015,8.4,8.5,8.45
Steins;Gate 0,PS3,0.03,2015,8.1,7.9,8.0
Lovely x Cation 1 & 2,PSV,0.02,2015,,,
Psycho-Pass: Mandatory Happiness,XOne,0.02,2015,,,
Psycho-Pass: Mandatory Happiness,XOne,0.02,2015,6.4,7.3,6.85
Psycho-Pass: Mandatory Happiness,XOne,0.02,2015,7.2,6.7,6.95
Kadenz fermata//Akkord:fortissimo,PSV,0.02,2015,,,
Chaos;Child,PS3,0.02,2015,,,
Chaos;Child,PS3,0.02,2015,,,
Chaos;Child,PS3,0.02,2015,7.6,7.8,7.7
Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,0.02,2015,,,
Infinite Stratos 2: Love and Purge,PSV,0.01,2015,,,
Infinite Stratos 2: Love and Purge,PSV,0.01,2015,,,
Infinite Stratos 2: Love and Purge,PS3,0.01,2015,,,
Infinite Stratos 2: Love and Purge,PS3,0.01,2015,,,
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,0.04,2016,,,
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,0.03,2016,,,
MuvLuv Double Pack,PSV,0.03,2016,,,
Plastic Memories,PSV,0.02,2016,,,
Meiji Toukyou Renka: Full Moon,PSV,0.02,2016,,,
"Kono Oozora ni, Tsubasa o Hirogete: Cruise Sign",PSV,0.01,2016,,,
Bullet Soul,X360,0.01,2016,,,
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PSV,0.02,2017,,,
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PSV,0.02,2017,,,
New Game! The Challenge Stage!,PSV,0.02,2017,,,
New Game! The Challenge Stage!,PSV,0.02,2017,,,
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PS4,0.02,2017,,,
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PS4,0.02,2017,,,
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PSV,0.02,2017,,,
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PSV,0.02,2017,,,
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PSV,0.02,2017,,,
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PSV,0.02,2017,,,
Kamaitachi no Yoru: Rinne Saisei,PSV,0.02,2017,,,
New Game! The Challenge Stage!,PS4,0.01,2017,,,
New Game! The Challenge Stage!,PS4,0.01,2017,,,
Occultic;Nine,PSV,0.01,2017,,,
Occultic;Nine,PSV,0.01,2017,,,
Chaos;Child: Love Chu Chu!!,PSV,0.01,2017,,,
Chaos;Child: Love Chu Chu!!,PSV,0.01,2017,,,
Occultic;Nine,PS4,0.01,2017,,,
Occultic;Nine,PS4,0.01,2017,,,
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PS4,0.01,2017,,,
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PS4,0.01,2017,,,
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,PS4,0.01,2017,,,
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PS4,0.01,2017,,,
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PS4,0.01,2017,,,
Chaos;Child: Love Chu Chu!!,PS4,0.01,2017,,,
Chaos;Child: Love Chu Chu!!,PS4,0.01,2017,,,
Steins;Gate Elite,PSV,0.01,2018,,,
Steins;Gate Elite,PSV,0.01,2018,8.6,7.3,7.95
Steins;Gate Elite,PSV,0.01,2018,8.5,7.4,7.95
Pinball Tycoon,GBA,0.05,2003,,,
Monster! Bass Fishing,GBA,0.05,2004,,,
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,0.03,1996,,,
Tetris 2 + Bombliss,NES,0.32,1991,,,
Drift King Shutokou Battle '94,SNES,0.2,1994,,,
Grandia,SAT,0.42,1997,8.7,,
Grandia,SAT,0.42,1997,8.4,9.0,8.7
GunGriffon II,SAT,0.06,1998,,,
Radiant Silvergun,SAT,0.03,1998,9.0,,
Hajime no Ippo: The Fighting,GBA,0.03,2002,,,
Nonomura Byoin no Hitobito,SAT,0.36,1996,,,
Kakyuusei,SAT,0.28,1997,,,
SimEarth: The Living Planet,SNES,0.16,1993,,,
Postman Pat: Special Delivery Service,DS,0.01,2009,,,
Princess Isabella: A Witch's Curse,DS,0.08,2010,,,
Princess Isabella: A Witch's Curse,DS,0.08,2010,,,
Junior Brain Trainer 2,DS,0.28,2011,,,
Jewel Quest Solitaire,DS,0.15,2011,,,
Jewel Link Chronicles: Legend of Athena,DS,0.07,2011,,,
Noddy in Toyland,DS,0.05,2011,,,
Small Town Terrors - Galdor's Bluff,PC,0.01,2016,,,
Beyond the Legend - Mysteries of Olympus,PC,0.01,2016,,,
Enigmatis 3: The Shadow Of Karkhala,PC,0.01,2017,,,
APB Reloaded,PC,0.04,2011,,,
Center Ring Boxing,SAT,0.12,1995,,,
Highschool Terra Story,SAT,0.03,1998,,,
Memories Off: Sorekara Again,PS2,0.02,2006,,,
Ryu-Koku,PS2,0.02,2006,,,
Festa!! Hyper Girls Party,PS2,0.01,2006,,,
Nishijin Pachinko Monogatari 2,SNES,0.03,1996,,,
Option Tuning Car Battle,PS,0.1,1998,,,
Ochaken no Heya DS,DS,0.12,2006,,,
San-X Land: Theme Park de Asobou!,DS,0.04,2006,,,
Ochaken no Heya DS 2,DS,0.09,2007,,,
Fashionable Puppy: Oshare na Koinu DS,DS,0.01,2007,,,
San-X: Chara Sagashi Land,DS,0.01,2007,,,
San-X Character Channel: All-Star Daishuugou!,DS,0.01,2008,,,
Kawaii Koinu DS 2,DS,0.01,2008,,,
Kawaii Koneko DS,DS,0.01,2008,,7.1,
Ochaken no Daibouken 2: Yume Ippai no Omocha Hako,DS,0.01,2008,,,
Jewel Pet: Kawaii Mahou no Fantasy,DS,0.01,2009,,,
Kawaii Koinu DS 3,DS,0.02,2010,,,
Langrisser III,SAT,0.2,1996,,,
Langrisser IV,SAT,0.11,1997,,,
Langrisser V: The End of Legend,SAT,0.09,1998,,,
Doukyuusei,PCE,0.14,1995,,,
Doukyuusei if,SAT,0.26,1996,,,
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,0.03,1996,,,
Boxer's Road,PS,0.36,1995,,,
Block Kuzushi,SNES,0.05,1995,,,
Apassionata: Die Galanacht der Pferde,DS,0.05,2009,,,
Richard Burns Rally,PC,0.04,2004,,,
Samurai Shodown,NG,0.07,1993,,,
Samurai Shodown,NG,0.07,1993,,,
Samurai Shodown II,NG,0.25,1994,,,
Samurai Spirits (CD),NG,0.2,1994,,,
The King of Fighters '94 (CD),NG,0.14,1994,,,
The King of Fighters '94,NG,0.12,1994,,,
The King of Fighters '95 (CD),NG,0.23,1995,,,
The King of Fighters '95,NG,0.2,1995,,,
The King of Fighters '95,NG,0.2,1995,,,
The King of Fighters '95,NG,0.2,1995,5.0,,
Samurai Shodown III,NG,0.08,1995,,,
The King of Fighters '95,SAT,0.28,1996,,,
The King of Fighters '95,SAT,0.28,1996,,,
The King of Fighters '95,SAT,0.28,1996,5.0,,
The King of Fighters '96,SAT,0.21,1996,,,
The King of Fighters '96,SAT,0.21,1996,,,
The King of Fighters '96,SAT,0.21,1996,,,
Real Bout Garou Densetsu,SAT,0.1,1996,,,
The King of Fighters '96,NG,0.06,1996,,,
The King of Fighters '96,NG,0.06,1996,,,
The King of Fighters '96,NG,0.06,1996,,,
Garou Densetsu 3: Road to the Final Victory,SAT,0.05,1996,,,
Art of Fighting 3: The Path of the Warrior,NG,0.04,1996,,,
The King of Fighters '96,PS,0.08,1997,,,
The King of Fighters '96,PS,0.08,1997,,,
The King of Fighters '96,PS,0.08,1997,,,
The King of Fighters '97,SAT,0.17,1998,,,
The King of Fighters '97,SAT,0.17,1998,,,
Real Bout Garou Densetsu Special: Dominated Mind,PS,0.06,1998,,,
The King of Fighters Kyo,PS,0.04,1998,,,
The King of Fighters: Dream Match 1999,DC,0.1,1999,7.2,,
Koudelka,PS,0.08,1999,6.5,,
The King of Fighters '98: Dream Match Never Ends,PS,0.08,1999,,,
Fatal Fury: Wild Ambition,PS,0.05,1999,4.0,,
Samurai Shodown: Warrios Rage,PS,0.01,2000,,,
The King of Fighters 2000/2001,PS2,0.11,2003,7.8,,
King of Fighters: Maximum Impact,PS2,0.26,2004,,,
Metal Slug 3,XB,0.1,2004,6.8,,
SVC Chaos: SNK vs. Capcom,XB,0.1,2004,,,
Metal Slug Advance,GBA,0.08,2004,8.4,9.0,8.7
The King of Fighters 02/03,PS2,0.07,2005,,,
The King of Fighters 02/03,PS2,0.07,2005,7.0,,
The King of Fighters 2002: Unlimited Match,PC,0.11,2015,,,
The King of Fighters 2002: Unlimited Match,PC,0.11,2015,,,
Panzer General,PS,0.24,1996,,,
Allied General,PS,0.19,1996,6.3,,
Warhammer: Shadow of the Horned Rat,PS,0.19,1996,,,
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,PSP,0.01,2009,,,
Renai Revenge,PSV,0.04,2015,,,
Kisuato,PSV,0.04,2015,,,
Parfait,PSV,0.03,2015,,,
In the Hunt,PS,0.14,1996,,,
Robo Pit,PS,0.03,1996,6.5,,
WCW vs. nWo: World Tour,N64,1.69,1997,,,
Bravo Air Race,PS,0.14,1997,5.3,,
Ghost in the Shell,PS,0.1,1997,8.0,,
Ray Tracers,PS,0.06,1997,7.0,,
Rugrats: Search For Reptar,PS,3.34,1998,,,
WCW/nWo Revenge,N64,2.38,1998,,,
WCW Nitro,PS,1.88,1998,7.0,,
WCW Nitro,PS,1.88,1998,4.7,,
WCW/NWO Thunder,PS,1.69,1998,6.6,,
WCW vs the World,PS,1.46,1998,,,
Devil Dice,PS,1.26,1998,,,
Quest 64,N64,0.47,1998,5.4,,
WCW Nitro,N64,0.21,1998,7.0,,
WCW Nitro,N64,0.21,1998,4.7,,
Brunswick Circuit Pro Bowling,PS,0.18,1998,7.3,,
Brunswick Circuit Pro Bowling,PS,0.18,1998,8.2,,
The Granstream Saga,PS,0.14,1998,7.6,7.0,7.3
G Darius,PS,0.07,1998,8.0,,
WWF WrestleMania 2000,N64,1.48,1999,,,
Rugrats Studio Tour,PS,1.31,1999,,,
Championship Motocross featuring Ricky Carmichael,PS,0.58,1999,7.5,,
Rugrats: Scavenger Hunt,N64,0.51,1999,3.7,,
Road Rash 64,N64,0.24,1999,7.8,,
Destruction Derby 64,N64,0.16,1999,6.7,,
Bassmasters 2000,N64,0.14,1999,3.1,,
Nuclear Strike 64,N64,0.11,1999,,,
Brunswick Circuit Pro Bowling,N64,0.06,1999,7.3,,
Brunswick Circuit Pro Bowling,N64,0.06,1999,8.2,,
Penny Racers,N64,0.06,1999,,,
Penny Racers,N64,0.06,1999,6.0,,
WWF SmackDown!,PS,3.58,2000,,,
Rugrats in Paris: The Movie,PS,3.52,2000,,,
Rugrats in Paris: The Movie,PS,3.52,2000,,,
WWF SmackDown! 2: Know Your Role,PS,3.2,2000,8.7,,
WWF No Mercy,N64,1.5,2000,9.1,,
Summoner,PS2,0.51,2000,8.3,,
Rugrats in Paris: The Movie,N64,0.5,2000,,,
Rugrats in Paris: The Movie,N64,0.5,2000,,,
Scooby-Doo! Classic Creep Capers,N64,0.37,2000,,,
Saban's Power Rangers: Lightspeed Rescue,N64,0.36,2000,,,
Saban's Power Rangers: Lightspeed Rescue,N64,0.36,2000,,,
Saban's Power Rangers: Lightspeed Rescue,PS,0.35,2000,,,
Saban's Power Rangers: Lightspeed Rescue,PS,0.35,2000,,,
Evil Dead: Hail to the King,PS,0.27,2000,4.5,,
MTV Sports: Pure Ride,PS,0.12,2000,7.7,,
Brunswick Circuit Pro Bowling 2,PS,0.11,2000,7.0,,
WWF SmackDown! Just Bring It,PS2,2.79,2001,,,
Scooby Doo and the Cyber Chase,PS,1.94,2001,,,
Red Faction,PS2,1.92,2001,9.1,,
SpongeBob SquarePants: SuperSponge,PS,1.78,2001,,,
SpongeBob SquarePants: SuperSponge,PS,1.78,2001,,,
Tetris Worlds,GBA,1.71,2001,5.5,,
Tetris Worlds,GBA,1.71,2001,3.8,,
Tetris Worlds,GBA,1.71,2001,4.6,,
"Monsters, Inc.",GBA,1.67,2001,,,
"Monsters, Inc.",GBA,1.67,2001,2.9,,
Rocket Power: Team Rocket Rescue,PS,0.84,2001,,,
Bob the Builder: Can We Fix It?,PS,0.57,2001,,,
MX 2002 Featuring Ricky Carmichael,PS2,0.56,2001,5.0,,
MX 2002 Featuring Ricky Carmichael,PS2,0.56,2001,7.5,,
MX 2002 Featuring Ricky Carmichael,PS2,0.56,2001,8.0,,
SpongeBob SquarePants: SuperSponge,GBA,0.55,2001,,,
SpongeBob SquarePants: SuperSponge,GBA,0.55,2001,,,
Blue's Clues: Blue's Big Musical,PS,0.5,2001,,,
Scooby-Doo,GBA,0.46,2001,,,
Rugrats: Castle Capers,GBA,0.46,2001,,,
Jimmy Neutron: Boy Genius,GBA,0.42,2001,,,
Jimmy Neutron: Boy Genius,GBA,0.42,2001,,,
Jimmy Neutron: Boy Genius,GBA,0.42,2001,,,
Scooby-Doo and the Cyber Chase,GBA,0.41,2001,3.5,,
Rocket Power: Dream Scheme,GBA,0.4,2001,,,
GT Advance Championship Racing,GBA,0.33,2001,7.5,,
Power Rangers: Time Force,PS,0.32,2001,,,
Power Rangers: Time Force,PS,0.32,2001,,,
Bass Strike,PS2,0.28,2001,,,
Dark Summit,PS2,0.21,2001,6.5,,
Dark Summit,PS2,0.21,2001,7.6,,
Dark Summit,PS2,0.21,2001,7.9,,
Power Rangers: Time Force,GBA,0.2,2001,,,
Power Rangers: Time Force,GBA,0.2,2001,,,
The Wild Thornberrys: Chimp Chase,GBA,0.16,2001,,,
MX 2002 Featuring Ricky Carmichael,GBA,0.16,2001,5.0,,
MX 2002 Featuring Ricky Carmichael,GBA,0.16,2001,7.5,,
MX 2002 Featuring Ricky Carmichael,GBA,0.16,2001,8.0,,
Championship Motocross 2001 featuring Ricky Carmichael,PS,0.14,2001,6.8,,
MX 2002 Featuring Ricky Carmichael,XB,0.13,2001,5.0,,
MX 2002 Featuring Ricky Carmichael,XB,0.13,2001,7.5,,
MX 2002 Featuring Ricky Carmichael,XB,0.13,2001,8.0,,
Disney's Atlantis: The Lost Empire,GBA,0.12,2001,,,
Disney's Atlantis: The Lost Empire,GBA,0.12,2001,6.0,,
Rugrats: Totally Angelica,PS,0.12,2001,,,
Dark Summit,XB,0.1,2001,6.5,,
Dark Summit,XB,0.1,2001,7.6,,
Dark Summit,XB,0.1,2001,7.9,,
Aidyn Chronicles: The First Mage,N64,0.1,2001,6.0,,
Hot Wheels: Burnin' Rubber,GBA,0.06,2001,8.0,,
WWE SmackDown! Shut Your Mouth,PS2,3.02,2002,8.2,,
WWE SmackDown! Shut Your Mouth,PS2,3.02,2002,8.2,,
WWE SmackDown! Shut Your Mouth,PS2,2.66,2002,8.2,,
WWE SmackDown! Shut Your Mouth,PS2,2.66,2002,8.2,,
Scooby-Doo! Night of 100 Frights,PS2,2.1,2002,6.1,,
Scooby-Doo! Night of 100 Frights,PS2,2.1,2002,6.7,,
Scooby-Doo! Night of 100 Frights,PS2,2.1,2002,6.7,,
Tetris Worlds,PS2,2.08,2002,5.5,,
Tetris Worlds,PS2,2.08,2002,3.8,,
Tetris Worlds,PS2,2.08,2002,4.6,,
Red Faction II,PS2,1.5,2002,8.1,,
Red Faction II,PS2,1.5,2002,8.6,,
Red Faction II,PS2,1.5,2002,7.9,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,1.19,2002,,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,1.19,2002,,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,1.19,2002,4.0,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,1.08,2002,,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,1.08,2002,,,
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,1.08,2002,4.0,,
Rocket Power: Beach Bandits,PS2,0.82,2002,,,
Rocket Power: Beach Bandits,PS2,0.82,2002,,,
Rocket Power: Beach Bandits,PS2,0.82,2002,5.0,,
Star Wars Episode II: Attack of the Clones,GBA,0.77,2002,,,
Super Monkey Ball Jr.,GBA,0.72,2002,9.0,,
WWF Raw (2002),XB,0.55,2002,6.5,,
WWE Wrestlemania X8,GC,0.49,2002,,,
Hot Wheels Velocity X,PS2,0.47,2002,,,
Hot Wheels Velocity X,PS2,0.47,2002,,,
Hot Wheels Velocity X,PS2,0.47,2002,5.2,,
Jimmy Neutron: Boy Genius,PS2,0.41,2002,,,
Jimmy Neutron: Boy Genius,PS2,0.41,2002,,,
Jimmy Neutron: Boy Genius,PS2,0.41,2002,,,
"Monsters, Inc. Scream Arena",GC,0.37,2002,3.8,,
Rugrats: Royal Ransom,PS2,0.35,2002,,,
Rugrats: Royal Ransom,PS2,0.35,2002,,,
The Wild Thornberrys Movie,GBA,0.34,2002,,,
Sega Smash Pack,GBA,0.32,2002,,,
Spirit: Stallion of the Cimarron,GBA,0.3,2002,,,
Scooby-Doo! Night of 100 Frights,GC,0.3,2002,6.1,,
Scooby-Doo! Night of 100 Frights,GC,0.3,2002,6.7,,
Scooby-Doo! Night of 100 Frights,GC,0.3,2002,6.7,,
